spid,rid,iconType,squarePhoto,rectanglePhoto,flowerBloom1,flowerBloom2,flowerBloom3,flowerBloom4,flowerBloom5,flowerBloom6,flowerBloom7,flowerBloom8,flowerBloom9,flowerBloom10,flowerBloom11,flowerBloom12,recordPlant
Koel1,123,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150921_20063216_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150921_20063216_1.jpg,1,1,1,1,1,1,1,1,2,4,4,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=123&SPID=Koel1
Lage4,665,8,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150721_20065116_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150803_20065116_0.jpg,1,1,1,1,1,1,2,4,4,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=665&SPID=Lage4
Lage5,205,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140825_20061216_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/GR2Q9009.jpg,1,1,1,1,1,1,3,4,4,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=205&SPID=Lage5
Loni4,124,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150506_20120035_1.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150427_20120035_0.jpg,1,1,2,3,4,3,1,3,3,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=124&SPID=Loni4
Loro2,1076,2,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140318_20063317_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20140325_20063317_0.jpg,1,2,4,1,1,1,1,1,1,1,1,1,
Lyco28,1313,6,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141006_20110023_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141006_20110023_1.jpg,1,1,1,1,1,1,1,1,2,4,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=1313&SPID=Lyco28
Medi4,103,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20141124_00_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/TBG_1376.JPG,4,3,3,1,1,1,1,1,2,4,4,4,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=103&SPID=Medi4
Medi9,1358,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150908_20100399_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/GR2Q6194.JPG,1,1,1,1,1,2,3,4,4,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=1358&SPID=Medi9
Mela3,25,1,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150603_20062784_0.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/20150608_20062784_0.jpg,1,1,1,1,3,4,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=25&SPID=Mela3
Mich3,43,5,http://bgip.tfri.gov.tw/tpbg2012/upload/file/320.jpg,http://bgip.tfri.gov.tw/tpbg2012/upload/file/950.jpg,1,2,3,4,1,1,1,1,1,1,1,1,https://tpbg.tfri.gov.tw/plantContentBig.php?rid=43&SPID=Mich3
